1301.JP,KYOKUYO
3598.JP,YAMAKI
3600.JP,FUJIX
3604.JP,KAWAMOTO
3606.JP,RENOWN
3607.JP,KURAUDIA
3608.JP,TSI HOLDINGS
3610.JP,HAKATA TAKUMI KOUGEI
3622.JP,NETYEAR GROUP
3623.JP,BILLING SYSTEM
3624.JP,AXEL MARK
3625.JP,TECHFIRM HOLDINGS
3626.JP,IT HOLDINGS
3627.JP,NEOS
3628.JP,DATA HORIZON
3630.JP,DENSAN SYSTEM
3632.JP,GREE
3633.JP,GMO PEPABO
3634.JP,SOCKETS
3635.JP,KOEI TECMO HOLDINGS
3636.JP,MITSUBISHI RESEARCH INSTITUTE
3639.JP,VOLTAGE INCORPORATION
3640.JP,DENSAN
3641.JP,PAPYLESS
3645.JP,MEDICAL NET COMMUNICATIONS
3646.JP,EKITAN
3647.JP,CONNECT HOLDINGS
3648.JP,AGS
3649.JP,FINDEX
3651.JP,TRIUMPH
3652.JP,DIGITAL MEDIA PROFESSIONALS
3653.JP,MORPHO
3654.JP,HITO COMMUNICATIONS
3655.JP,BRAINPAD
3656.JP,KLAB
3657.JP,POLETOWIN PITCREW HOLDINGS
3658.JP,EBOOK INITIATIVE JAPAN
3659.JP,NEXON
3660.JP,ISTYLE
3661.JP,M UP
3662.JP,ATEAM
3663.JP,ARTSPARK HOLDINGS
3664.JP,MOBCAST
3665.JP,ENIGMO
3666.JP,TECNOS JAPAN
3667.JP,ENISH
3668.JP,COLOPL
3669.JP,MOBILE CREATE
3670.JP,KYORITSU COMPUTER COMMUNICATION
3671.JP,SOFTMAX
3672.JP,ALTPLUSINC
3673.JP,BROADLEAF
3674.JP,AUCFAN
3675.JP,CROSS MARKETING GROUP
3676.JP,HEARTS UNITED GROUP
3677.JP,SYSTEM INFORMATION
3678.JP,MEDIA DO
3679.JP,ZIGEXN
3680.JP,HOTTO LINK
3681.JP,V CUBE
3682.JP,ENCOURAGE TECHNOLOGIES
3683.JP,CYBERLINKS
3685.JP,MINNANO WEDDING
3686.JP,DLE
3687.JP,FIXSTARS
3688.JP,VOYAGE GROUP
3689.JP,IGNIS
3690.JP,LOCKON
3691.JP,REALWORLD
3692.JP,FFRI
3693.JP,E COMETRUE
3694.JP,OPTIM
3695.JP,GMO RESEARCH
3696.JP,CERES
3697.JP,SHIFT
3698.JP,CRI MIDDLEWARE
3708.JP,TOKUSHU TOKAI PAPER
3710.JP,JORUDAN
3711.JP,SOTSU
3712.JP,INFORMATION PLANNING
3719.JP,GEXEED
3723.JP,NIHON FALCOM
3724.JP,VERISERVE
3726.JP,4CS HOLDINGS
3727.JP,APLIX IP HOLDINGS
3733.JP,SOFTWARE SERVICE
3734.JP,INTEA HOLDINGS
3738.JP,T GAIA
3741.JP,SYSTEMS ENGINEERING CONSULTANTS
3742.JP,ITBOOK
3744.JP,SIOS TECHNOLOGY
3747.JP,INTERTRADE
3750.JP,SEVEN SEAS HOLDINGS
3751.JP,JAPAN ASIA GROUP
3753.JP,FLIGHT HOLDINGS
3754.JP,EXCITE JAPAN
3756.JP,MAMEZOU HOLDINGS
3758.JP,AERIA
3760.JP,CAVE INTERACTIVE
3762.JP,TECHMATRIX
3763.JP,PRO SHIP
3765.JP,GUNGHO ONLINE ENTERTAINMENT
3766.JP,SYSTEMS DESIGN
3768.JP,RISKMONSTERCOM
3769.JP,GMO PAYMENT GATEWAY
3770.JP,ZAPPALLAS
3771.JP,SYSTEM RESEARCH
3772.JP,WEALTH MANAGEMENT
3773.JP,ADVANCED MEDIA
3774.JP,INTERNET INITIATIVE JAPAN
3776.JP,BROADBAND TOWER
3777.JP,GEONEXT
3778.JP,SAKURA INTERNET
3779.JP,J ESCOM HOLDINGS
3782.JP,DDS
3784.JP,VINX
3785.JP,EIGHTING
3787.JP,TECHNO MATHEMATICAL
3788.JP,GMO CLOUD
3791.JP,IG PORT
3793.JP,DRECOM
3794.JP,ND SOFTWARE
3796.JP,E SEIKATSU
3798.JP,ULS GROUP
3799.JP,KEYWARE SOLUTIONS
3800.JP,UNIRITA
3803.JP,IMAGE INFORMATION
3804.JP,SYSTEM D
3807.JP,FISCO
3810.JP,CYBERSTEP
3811.JP,BIT ISLE
3814.JP,ALPHAX FOOD SYSTEM
3815.JP,MEDIA KOBO
3816.JP,DAIWA COMPUTER
3817.JP,SRA HOLDINGS
3822.JP,MINORI SOLUTIONS
3823.JP,ACRODEA
3825.JP,REMIXPOINT
3826.JP,SYSTEM INTEGRATOR
3828.JP,NIFTY
3832.JP,T C HOLDINGS
3834.JP,ASAHI NET
3835.JP,EBASE
3836.JP,AVANT
3837.JP,AD SOL NISSIN
3839.JP,ODK SOLUTIONS COMPANY
3840.JP,PATH
3841.JP,JEDAT
3842.JP,NEXTGEN
3843.JP,FREEBIT
3844.JP,COMTURE
3845.JP,I FREEK MOBILE
3847.JP,PACIFIC SYSTEMS
3848.JP,DATA APPLICATIONS COMPANY
3850.JP,NTT DATA INTRAMART
3851.JP,NIPPON ICHI SOFTWARE
3852.JP,CYBER COM
3853.JP,INFOTERIA
3854.JP,I LL INC
3856.JP,REALCOM
3857.JP,LAC
3858.JP,UBIQUITOUS
3861.JP,OJI HOLDINGS
3863.JP,NIPPON PAPER INDUSTRIES
3864.JP,MITSUBISHI PAPER MILLS
3865.JP,HOKUETSU KISHU PAPER
3877.JP,CHUETSU PULP PAPER
3878.JP,TOMOEGAWA
3880.JP,DAIO PAPER
3891.JP,NIPPON KODOSHI
3892.JP,OKAYAMA PAPER INDUSTRIES
3895.JP,HAVIX
3896.JP,AWA PAPER MFG
3900.JP,CROWDWORKS
3901.JP,MARKLINES
3902.JP,MEDICAL DATA VISION
3903.JP,GUMI
3904.JP,KAYAC
3905.JP,DATASECTION
3906.JP,ALBERT
3907.JP,SILICON STUDIO
3908.JP,COLLABOS
3909.JP,SHOWCASE TV
3910.JP,MKSYSTEM
3911.JP,AIMING
3912.JP,MOBILE FACTORY
3913.JP,SMEDIO
3914.JP,JIG SAW
3915.JP,TERRASKY
3916.JP,DIGITAL INFORMATION TECHNOLOGIES
3917.JP,IRIDGE
3918.JP,PCI HOLDINGS
3919.JP,PIPEDO HD
3920.JP,INTERNETWORKING AND BROADBAND CONSULTING
3921.JP,NEOJAPAN
3923.JP,RAKUS
3924.JP,R D COMPUTER
3925.JP,DOUBLE STANDARD
3941.JP,RENGO
3944.JP,FURUBAYASHI SHIKO
3945.JP,SUPERBAG COMPANY
3946.JP,TOMOKU
3947.JP,DYNAPAC
3948.JP,HIKARI BUSINESS FORM
3950.JP,THE PACK
3951.JP,ASAHI PRINTING
3953.JP,OHMURA SHIGYO
3954.JP,SHOWA PAXXS
3955.JP,IMURA ENVELOPE
3956.JP,KOKUSAI CHART
4004.JP,SHOWA DENKO
4005.JP,SUMITOMO CHEMICAL COMPANY
4007.JP,NIPPON KASEI CHEMICAL COMPANY
4008.JP,SUMITOMO SEIKA CHEMICALS COMPANY
4021.JP,NISSAN CHEMICAL INDUSTRIES
4022.JP,RASA INDUSTRIES
4023.JP,KUREHA
4025.JP,TAKI CHEMICAL
4026.JP,KONOSHIMA CHEMICAL
4027.JP,TAYCA
4028.JP,ISHIHARA SANGYO KAISHA
4031.JP,KATAKURA CO OP AGRI
4033.JP,NITTO FC
4041.JP,NIPPON SODA
4042.JP,TOSOH
4043.JP,TOKUYAMA
4044.JP,CENTRAL GLASS
4045.JP,TOAGOSEI
4046.JP,OSAKA SODA
4047.JP,KANTO DENKA KOGYO
4061.JP,DENKA COMPANY
4062.JP,IBIDEN
4063.JP,SHIN ETSU CHEMICAL
4064.JP,NIPPON CARBIDE INDUSTRIES COMPANY
4078.JP,SAKAI CHEMICAL INDUSTRY
4080.JP,TANAKA CHEMICAL
4082.JP,DAIICHI KIGENSO KAGAKU KOGYO
4088.JP,AIR WATER
4091.JP,TAIYO NIPPON SANSO
4092.JP,NIPPON CHEMICAL INDUSTRIAL
4093.JP,TOHO ACETYLENE
4094.JP,NIHON KAGAKU SANGYO
4095.JP,NIHON PARKERIZING
4097.JP,KOATSU GAS KOGYO
4098.JP,TITAN KOGYO KABUSHIKI KAISHA
4099.JP,SHIKOKU CHEMICALS
4100.JP,TODA KOGYO
4102.JP,MARUO CALCIUM
4107.JP,ISE CHEMICALS
4109.JP,STELLA CHEMIFA
4112.JP,HODOGAYA CHEMICAL
4113.JP,TAOKA CHEMICAL COMPANY
4114.JP,NIPPON SHOKUBAI
4115.JP,HONSHU CHEMICAL INDUSTRY
4116.JP,DAINICHISEIKA COLOR CHEMICALS MFG
4117.JP,KAWASAKI KASEI CHEMICALS
4118.JP,KANEKA
4119.JP,NIPPON PIGMENT COMPANY
4120.JP,SUGAI CHEMICAL INDUSTRY
4151.JP,KYOWA HAKKO KIRIN
4182.JP,MITSUBISHI GAS CHEMICAL COMPANY
4183.JP,MITSUI CHEMICALS
4185.JP,JSR
4186.JP,TOKYO OHKA KOGYO
4187.JP,OSAKA ORGANIC CHEMICAL INDUSTRY
4188.JP,MITSUBISHI CHEMICAL HOLDINGS
4201.JP,THE NIPPON SYNTHETIC CHEMICAL INDUSTRY
4202.JP,DAICEL
4203.JP,SUMITOMO BAKELITE COMPANY
4204.JP,SEKISUI CHEMICAL
4205.JP,ZEON
4206.JP,AICA KOGYO COMPANY
4208.JP,UBE INDUSTRIES
4212.JP,SEKISUI JUSHI
4215.JP,TAKIRON
4216.JP,ASAHI ORGANIC CHEMICALS INDUSTRY
4217.JP,HITACHI CHEMICAL COMPANY
4218.JP,NICHIBAN
4220.JP,RIKEN TECHNOS
4221.JP,OKURA INDUSTRIAL
4222.JP,KODAMA CHEMICAL INDUSTRY
4224.JP,LONSEAL
4228.JP,SEKISUI PLASTICS
4229.JP,GUN EI CHEMICAL INDUSTRY
4231.JP,TIGERS POLYMER
4234.JP,SUN A KAKEN COMPANY
4235.JP,DAIICHI KASEI
4237.JP,FUJIPREAM
4238.JP,MIRAIAL
4239.JP,POLATECHNO
4240.JP,CLUSTER TECHNOLOGY
4241.JP,ATECT
4242.JP,TAKAGI SEIKO
4243.JP,NIX
4245.JP,DAIKI AXIS
4246.JP,DAIKYONISHIKAWA
4248.JP,TAKEMOTO YOHKI
4272.JP,NIPPON KAYAKU
4274.JP,HOSOYA PYRO ENGINEERING
4275.JP,CARLIT HOLDINGS
4281.JP,D A CONSORTIUM
4282.JP,EPS HOLDINGS
4284.JP,SOLXYZ
4286.JP,LEGS COMPANY
4287.JP,JUST PLANNING
4288.JP,ASGENT
4290.JP,PRESTIGE INT
4291.JP,JIEC
4293.JP,SEPTENI HOLDINGS
4295.JP,FAITH
4298.JP,PROTO
4299.JP,HIMACS
4301.JP,AMUSE
4304.JP,ESTORE
4307.JP,NOMURA RESEARCH INSTITUTE
4308.JP,J STREAM
4310.JP,DREAM INCUBATOR
4312.JP,CYBERNET SYSTEMS
4316.JP,BEMAP
4317.JP,RAY
4318.JP,QUICK
4319.JP,TAC
4320.JP,CE HOLDINGS
4321.JP,KENEDIX
4323.JP,JAPAN SYSTEM TECHNIQUES
4324.JP,DENTSU
4326.JP,INTAGE HOLDINGS
4327.JP,SHL JAPAN
4331.JP,TAKE AND GIVE NEEDS
4333.JP,TOHO SYSTEM SCIENCE
4334.JP,YUKE S
4335.JP,IPS
4336.JP,CRIE ANABUKI
4337.JP,PIA
4341.JP,SEIRYO ELECTRIC
4342.JP,SECOM JOSHINETSU
4343.JP,AEON FANTASY
4344.JP,SOURCENEXT
4345.JP,CTS
4346.JP,NEXYZ
4347.JP,BROADMEDIA
4348.JP,INFOCOM
4350.JP,MEDICAL SYSTEM NETWORK
4351.JP,YAMADA SERVICER SYNTHETIC OFFICE
4355.JP,LONGLIFE HOLDING
4356.JP,APPLIED TECHNOLOGY
4358.JP,TYO
4361.JP,KAWAGUCHI CHEMICAL INDUSTRY
4362.JP,NIPPON FINE CHEMICAL
4364.JP,MANAC
4365.JP,MATSUMOTO YUSHI SEIYAKU
4366.JP,DAITO CHEMIX
4367.JP,KOEI CHEMICAL COMPANY
4368.JP,FUSO CHEMICAL
4369.JP,TRI CHEMICAL LABORATORIES
4401.JP,ADEKA
4403.JP,NOF
4404.JP,MIYOSHI OIL FAT
4406.JP,NEW JAPAN CHEMICAL
4409.JP,TOHO CHEMICAL INDUSTRY COMPANY
4410.JP,HARIMA CHEMICALS GROUP
4452.JP,KAO
4461.JP,DKS
4462.JP,ISHIHARA CHEMICAL
4464.JP,SOFT99CORPORATION
4465.JP,NIITAKA
4471.JP,SANYO CHEMICAL INDUSTRIES
4502.JP,TAKEDA PHARMACEUTICAL COMPANY
4503.JP,ASTELLAS PHARMA
4506.JP,SUMITOMO DAINIPPON PHARMA
4507.JP,SHIONOGI
4508.JP,MITSUBISHI TANABE PHARMA
4512.JP,WAKAMOTO PHARMACEUTICAL
4514.JP,ASKA PHARMACEUTICAL
4516.JP,NIPPON SHINYAKU
4517.JP,BIOFERMIN PHARMACEUTICAL
4519.JP,CHUGAI PHARMACEUTICAL
4521.JP,KAKEN PHARMACEUTICAL
4523.JP,EISAI
4524.JP,MORISHITA JINTAN
4526.JP,RIKEN VITAMIN
4527.JP,ROHTO PHARMACEUTICAL
4528.JP,ONO PHARMACEUTICAL
4530.JP,HISAMITSU PHARMACEUTICAL
4531.JP,YUKI GOSEI KOGYO
4534.JP,MOCHIDA PHARMACEUTICAL
4536.JP,SANTEN PHARMACEUTICAL
4538.JP,FUSO PHARMACEUTICAL INDUSTRIES
4539.JP,NIPPON CHEMIPHAR
4540.JP,TSUMURA
4541.JP,NICHI IKO PHARMACEUTICAL
4543.JP,TERUMO
4544.JP,MIRACA HOLDINGS
4547.JP,KISSEI PHARMACEUTICAL
4548.JP,SEIKAGAKU
4549.JP,EIKEN CHEMICAL
4550.JP,NISSUI PHARMACEUTICAL
4551.JP,TORII PHARMACEUTICAL
4552.JP,JCR PHARMACEUTICALS
4553.JP,TOWA PHARMACEUTICAL
4554.JP,FUJI PHARMA
4555.JP,SAWAI PHARMACEUTICAL
4556.JP,KAINOS LABORATORIES
4557.JP,MEDICAL BIOLOGICAL LABORATORIES
4558.JP,CHUKYO IYAKUHIN
4559.JP,ZERIA PHARMACEUTICAL
4563.JP,ANGES MG
4564.JP,ONCOTHERAPY SCIENCE
4565.JP,SOSEI GROUP
4568.JP,DAIICHI SANKYO COMPANY
4569.JP,KYORIN HOLDINGS
4570.JP,IMMUNO BIOLOGICAL LABORATORIES
4571.JP,NANOCARRIER
4572.JP,CARNA BIOSCIENCES
4573.JP,R TECH UENO
4574.JP,TAIKO PHARMACEUTICAL
4575.JP,CANBAS
4576.JP,D WESTERN THERAPEUTICS INSTITUTE
4577.JP,DAITO PHARMACEUTICAL
4578.JP,OTSUKA HOLDINGS
4579.JP,RAQUALIA PHARMA
4581.JP,TAISHO PHARMACEUTICAL HOLDINGS
4582.JP,SYMBIO PHARMACEUTICALS
4583.JP,CHIOME BIOSCIENCE
4584.JP,GENE TECHNO SCIENCE
4585.JP,UMN PHARMA
4586.JP,MEDRX
4587.JP,PEPTIDREAM
4588.JP,ONCOLYS BIOPHARMA
4589.JP,ACUCELA
4591.JP,RIBOMIC
4592.JP,SANBIO COMPANY
4593.JP,HEALIOS
4594.JP,GREENPEPTIDE
4611.JP,DAI NIPPON TORYO COMPANY
4612.JP,NIPPON PAINT HOLDINGS
4613.JP,KANSAI PAINT
4615.JP,SHINTO PAINT COMPANY
4616.JP,KAWAKAMI PAINT MANUFACTURING
4617.JP,CHUGOKU MARINE PAINTS
4619.JP,NIHON TOKUSHU TORYO
4620.JP,FUJIKURA KASEI
4621.JP,ROCK PAINT
4623.JP,ASAHIPEN
4624.JP,ISAMU PAINT
4625.JP,ATOMIX
4626.JP,TAIYO HOLDINGS
4627.JP,NATOCO
4628.JP,SK KAKEN
4629.JP,DAISHIN CHEMICAL
4631.JP,DIC
4633.JP,SAKATA INX
4634.JP,TOYO INK SC HOLDINGS
4635.JP,TOKYO PRINTING INK MFG
4636.JP,T K TOKA
4640.JP,ANDOR
4641.JP,ALTECH
4642.JP,ORIGINAL ENGINEERING CONSULTANTS
4644.JP,IMAGINEER
4645.JP,ICHISHIN HOLDINGS
4650.JP,SD ENTERTAINMENT
4651.JP,SANIX
4653.JP,DAIOHS
4656.JP,SUNLIFE
4657.JP,ENVIRONMENTAL CONTROL CENTER
4658.JP,NIPPON AIR CONDITIONING SERVICES
4659.JP,AJIS
4661.JP,ORIENTAL LAND
4662.JP,FOCUS SYSTEMS
4664.JP,JAPAN RELIANCE SERVICE
4665.JP,DUSKIN
4666.JP,PARK24
4667.JP,AISAN TECHNOLOGY
4668.JP,MEIKO NETWORK JAPAN
4669.JP,NIPPAN RENTAL
4671.JP,FALCO HOLDINGS
4673.JP,KAWASAKI GEOLOGICAL ENGINEERING
4674.JP,CRESCO
4676.JP,FUJI MEDIA HOLDINGS
4678.JP,SHUEI YOBIKO
4679.JP,TAYA
4680.JP,ROUND ONE
4681.JP,RESORTTRUST
4684.JP,OBIC
4685.JP,RYOYU SYSTEMS
4686.JP,JUSTSYSTEMS
4687.JP,TDC SOFTWARE ENGINEERING
4689.JP,YAHOO JAPAN
4690.JP,NIPPON PALLET POOL
4694.JP,BML
4695.JP,MYSTAR ENGINEERING
4696.JP,WATABE WEDDING
4699.JP,UCHIDA ESCO
4704.JP,TREND MICRO
4705.JP,CLIP
4707.JP,KITAC
4708.JP,RELIA
4709.JP,INFORMATION DEVELOPMENT
4712.JP,ADORES
4714.JP,RISO KYOIKU
4716.JP,ORACLE JAPAN
4718.JP,WASEDA ACADEMY
4719.JP,ALPHA SYSTEMS
4720.JP,JOHNAN ACADEMIC PREPARATORY INSTITUTE
4722.JP,FUTURE ARCHITECT
4725.JP,CAC HOLDINGS
4726.JP,SOFTBANK TECHNOLOGY
4728.JP,TOSE
4732.JP,USS
4733.JP,OBIC BUSINESS CONSULTANTS
4734.JP,BEING
4735.JP,KYOSHIN
4736.JP,NIPPON RAD
4739.JP,ITOCHU TECHNO SOLUTIONS
4743.JP,ITFOR
4745.JP,TOKYO INDIVIDUALIZED EDUCATIONAL INSTITUTE
4746.JP,TOUKEI COMPUTER
4748.JP,KOZO KEIKAKU ENGINEERING
4750.JP,DAISAN
4751.JP,CYBERAGENT
4752.JP,SHOWA SYSTEM ENGINEERING
4754.JP,TOSNET
4755.JP,RAKUTEN
4760.JP,ALPHA
4761.JP,SAKURA KCS
4762.JP,XNET
4763.JP,CREEK RIVER
4764.JP,DIGITAL DESIGN
4765.JP,MORNINGSTAR JAPAN
4766.JP,PA
4767.JP,TOW
4768.JP,OTSUKA
4769.JP,INFORMATION CREATIVE
4770.JP,ZUKEN ELMIC
4771.JP,F M
4772.JP,DIGITAL ADVENTURE
4775.JP,SOGO MEDICAL
4776.JP,CYBOZU
4777.JP,GALA
4779.JP,SOFTBRAIN
4781.JP,NIHON HOUSING
4783.JP,NIPPON COMPUTER DYNAMICS
4784.JP,GMO AD PARTNERS
4792.JP,YAMADA CONSULTING GROUP
4793.JP,FUJITSU BROAD SOLUTION CONSULTING
4798.JP,LCA HOLDINGS
4800.JP,ORICON
4801.JP,CENTRAL SPORTS
4809.JP,PARACA
4812.JP,INFORMATION SERVICES INTERNATIONAL DENTSU
4813.JP,ACCESS
4814.JP,NEXTWARE
4816.JP,TOEI ANIMATION
4819.JP,DIGITAL GARAGE
4820.JP,EM SYSTEMS
4824.JP,MEDIASEEK
4825.JP,WEATHERNEWS
4826.JP,COMPUTER INSTITUTE OF JAPAN
4828.JP,TOYO BUSINESS ENGINEERING
4829.JP,NIHON ENTERPRISE
4832.JP,JFE SYSTEMS
4833.JP,PADO
4837.JP,SHIDAX
4838.JP,SPACE SHOWER NETWORKS
4839.JP,WOWOW
4840.JP,TRIIS
4842.JP,USEN
4845.JP,FUSION PARTNERS
4847.JP,INTELLIGENT WAVE
4848.JP,FULLCAST HOLDINGS
4849.JP,EN JAPAN
4850.JP,THE DOW CHEMICAL COMPANY
4875.JP,MEDICINOVA
4901.JP,FUJIFILM HOLDINGS
4902.JP,KONICA MINOLTA
4911.JP,SHISEIDO COMPANY
4912.JP,LION
4914.JP,TAKASAGO INT
4917.JP,MANDOM
4918.JP,IVY COSMETICS
4919.JP,MILBON
4920.JP,NIPPON SHIKIZAI
4921.JP,FANCL
4922.JP,KOSE
4923.JP,COTA
4924.JP,CI:Z HOLDINGS
4925.JP,HABA LABORATORIES
4926.JP,C BON COSMETICS
4927.JP,POLA ORBIS HOLDINGS
4928.JP,NOEVIR HOLDINGS
4929.JP,ADJUVANT COSME JAPAN
4951.JP,S T
4952.JP,SDS BIOTECH
4955.JP,AGRO KANESHO
4956.JP,KONISHI
4957.JP,YASUHARA CHEMICAL
4958.JP,T HASEGAWA
4960.JP,CHEMIPRO KASEI KAISHA
4962.JP,GOO CHEMICAL
4963.JP,SEIKO PMC
4965.JP,SODA AROMATIC
4966.JP,C UYEMURA
4967.JP,KOBAYASHI PHARMACEUTICAL
4968.JP,ARAKAWA CHEMICAL INDUSTRIES
4970.JP,TOYO GOSEI
4971.JP,MEC COMPANY
4972.JP,SOKEN CHEMICAL ENGINEERING
4973.JP,JAPAN PURE CHEMICAL
4974.JP,TAKARA BIO
4975.JP,JCU
4976.JP,TOYO DRILUBE
4977.JP,NITTA GELATIN
4978.JP,REPROCELL
4979.JP,OAT AGRIO
4980.JP,DEXERIALS
4985.JP,EARTH CHEMICAL
4987.JP,TERAOKA SEISAKUSHO
4989.JP,IHARA CHEMICAL INDUSTRY
4990.JP,SHOWA CHEMICAL INDUSTRY
4992.JP,HOKKO CHEMICAL INDUSTRY
4994.JP,TAISEI LAMICK
4996.JP,KUMIAI CHEMICAL INDUSTRY
4997.JP,NIHON NOHYAKU
4998.JP,FUMAKILLA
4999.JP,CEMEDINE
5002.JP,SHOWA SHELL SEKIYU
5008.JP,TOA OIL COMPANY
5009.JP,FUJI KOSAN COMPANY
5010.JP,NIPPON SEIRO
5011.JP,NICHIREKI
5012.JP,TONENGENERAL SEKIYU
5013.JP,YUSHIRO CHEMICAL INDUSTRY
5015.JP,BP CASTROL
5017.JP,FUJI OIL COMPANY
5018.JP,MORESCO
5019.JP,IDEMITSU KOSAN
5020.JP,JX HOLDINGS
5021.JP,COSMO ENERGY HOLDINGS COMPANY
5101.JP,THE YOKOHAMA RUBBER COMPANY
5103.JP,SHOWA HOLDINGS
5104.JP,NITTO KAKO
5105.JP,TOYO TIRE RUBBER
5108.JP,BRIDGESTONE
5110.JP,SUMITOMO RUBBER INDUSTRIES
5121.JP,FUJIKURA RUBBER
5122.JP,OKAMOTO INDUSTRIES
5142.JP,ACHILLES
5161.JP,NISHIKAWA RUBBER
5162.JP,ASAHI RUBBER
5184.JP,NICHIRIN
5185.JP,FUKOKU
5186.JP,NITTA
5187.JP,CREATE MEDIC
5189.JP,SAKURA RUBBER
5191.JP,SUMITOMO RIKO COMPANY
5192.JP,MITSUBOSHI BELTING
5194.JP,SAGAMI RUBBER INDUSTRIES
5195.JP,BANDO CHEMICAL INDUSTRIES
5196.JP,KINUGAWA RUBBER INDUSTRIAL
5199.JP,FUJI LATEX
5201.JP,ASAHI GLASS COMPANY
5202.JP,NIPPON SHEET GLASS COMPANY
5204.JP,ISHIZUKA GLASS
5208.JP,ARISAWA MFG
5210.JP,NIHON YAMAMURA GLASS
5212.JP,FUJI GLASS
5214.JP,NIPPON ELECTRIC GLASS
5216.JP,KURAMOTO
5217.JP,TECHNO QUARTZ
5218.JP,OHARA
5232.JP,SUMITOMO OSAKA CEMENT
5233.JP,TAIHEIYO CEMENT
5234.JP,DC
5237.JP,NOZAWA
5261.JP,RESORT SOLUTION
5262.JP,NIPPON HUME
5268.JP,ASAHI CONCRETE WORKS
5269.JP,NIPPON CONCRETE INDUSTRIES
5271.JP,TOYO ASANO FOUNDATION
5273.JP,MITANI SEKISAN
5277.JP,SPANCRETE
5279.JP,NIHON KOGYO
5280.JP,YOSHICON
5282.JP,GEOSTR
5283.JP,TAKAMISAWA
5284.JP,YAMAU
5285.JP,YAMAX
5287.JP,ITO YOGYO
5288.JP,ASIA PILE HOLDINGS
5289.JP,HANEDA ZENITH HOLDINGS
5301.JP,TOKAI CARBON
5302.JP,NIPPON CARBON
5304.JP,SEC CARBON
5310.JP,TOYO TANSO
5331.JP,NORITAKE
5332.JP,TOTO
5333.JP,NGK INSULATORS
5334.JP,NGK SPARK PLUG
5337.JP,DANTO HOLDINGS
5341.JP,ASAHI EITO
5344.JP,MARUWA
5351.JP,SHINAGAWA REFRACTORIES
5352.JP,KROSAKI HARIMA
5355.JP,NIPPON CRUCIBLE
5357.JP,YOTAI REFRACTORIES
5358.JP,ISOLITE INSULATING PRODUCTS COMPANY
5363.JP,TYK
5367.JP,NIKKATO
5380.JP,SHINTO COMPANY
5381.JP,MIPOX
5384.JP,FUJIMI
5386.JP,TSURUYA
5387.JP,CHIYODA UTE
5388.JP,KUNIMINE INDUSTRIES
5391.JP,A A MATERIAL
5393.JP,NICHIAS
5395.JP,RIKEN CORUNDUM COMPANY
5398.JP,NIHON KENSHI
5401.JP,NIPPON STEEL SUMITOMO METAL
5406.JP,KOBE STEEL
5408.JP,NAKAYAMA STEEL WORKS
5410.JP,GODO STEEL
5411.JP,JFE HOLDINGS
5412.JP,POSCO
5413.JP,NISSHIN STEEL
5423.JP,TOKYO STEEL MANUFACTURING
5440.JP,KYOEI STEEL
5444.JP,YAMATO KOGYO
5445.JP,TOKYO TEKKO
5446.JP,HOKUETSU METAL
5448.JP,TOKYO KOHTETSU
5449.JP,OSAKA STEEL
5451.JP,YODOGAWA STEEL WORKS
5453.JP,TOYO KOHAN
5456.JP,ASAHI INDUSTRIES
5458.JP,TAKASAGO TEKKO
5463.JP,MARUICHI STEEL TUBE
5464.JP,MORY INDUSTRIES
5471.JP,DAIDO STEEL
5476.JP,NIPPON KOSHUHA STEEL
5480.JP,NIPPON YAKIN KOGYO
5481.JP,SANYO SPECIAL STEEL
5482.JP,AICHI STEEL
5484.JP,TOHOKU STEEL
5486.JP,HITACHI METALS
5491.JP,NIPPON KINZOKU
5541.JP,PACIFIC METALS
5542.JP,SHINHOKOKU STEEL
5563.JP,NIPPON DENKO
5602.JP,KURIMOTO
5603.JP,KOGI
5609.JP,NIPPON CHUZO
5610.JP,DAIWA HEAVY INDUSTRY
5612.JP,NIPPON CHUTETSUKAN
5614.JP,KAWAKIN HOLDINGS
5631.JP,THE JAPAN STEEL WORKS
5632.JP,MITSUBISHI STEEL MFG
5644.JP,METALART
5658.JP,NICHIA STEEL WORKS
5659.JP,NIPPON SEISEN
5660.JP,SHINKO WIRE COMPANY
5695.JP,POWDERTECH
5697.JP,SANYU
5698.JP,ENVIPRO HOLDINGS
5702.JP,DAIKI ALUMINIUM INDUSTRY
5703.JP,NIPPON LIGHT METAL HOLDINGS COMPANY
5706.JP,MITSUI MINING AND SMELTING COMPANY
5707.JP,TOHO ZINC
5711.JP,MITSUBISHI MATERIALS
5713.JP,SUMITOMO METAL MINING
5714.JP,DOWA HOLDINGS
5715.JP,FURUKAWA
5721.JP,SSCIENCE COMPANY
5724.JP,ASAKA RIKEN
5726.JP,OSAKA TITANIUM TECHNOLOGIES
5727.JP,TOHO TITANIUM COMPANY
5729.JP,NIHON SEIKO
5741.JP,UACJ
5742.JP,NIC AUTOTEC
5753.JP,NIPPON SHINDO
5758.JP,FCM
5781.JP,TOHO KINZOKU
5801.JP,FURUKAWA ELECTRIC
5802.JP,SUMITOMO ELECTRIC INDUSTRIES
5803.JP,FUJIKURA
5805.JP,SWCC SHOWA HOLDINGS
5807.JP,TOTOKU ELECTRIC
5809.JP,TATSUTA ELECTRIC WIRE AND CABLE
5815.JP,OKI ELECTRIC CABLE
5816.JP,ONAMBA
